source,title,price_million_vnd,price_raw,price_per_m2_million,area_m2,bedrooms,floors,frontage_m,road_width_m,direction,property_type,legal_status,district,address,description,url,scraped_at
alonhadat_land_list,🔥 BÁN ĐẤT TẶNG NHÀ CẤP 4 KIỆT Đường Trần Cao Vân – DT 75.3M² NGANG 6.41M – NHỈNH 4 TỶ 🏡,4200.0,"Giá: 4,2 tỷ",56.0,75.0,2.0,1.0,6.41,2.5,,land,,Thanh Khe,Thanh Khe,🔥 BÁN ĐẤT TẶNG NHÀ CẤP 4 KIỆT Đường Trần Cao Vân – DT 75.3M² NGANG 6.41M – NHỈNH 4 TỶ 🏡✨ 📍 Thuộc Phường Thanh Khê – cách đường chính chỉ 50m 📐 Diện tích: 75.3m² 📏 Ngang: 6.41m – nhà nở hậu đẹp 🧭 Hướng Đông ...... << Xem chi tiết >>,https://alonhadat.com.vn/-ban-dat-tang-nha-cap-4-kiet-duong-tran-cao-van-dt-75-3m-ngang-6-41m-nhinh-4-ty--18642296.html,2026-05-18T18:00:33
alonhadat_land_list,Giảm 2 tỷ! Bán nhanh lô đất 2 mặt tiền - K. Nguyễn Văn Thoại - 83m2 ngang 5m -lõi phố tây,11000.0,Giá: 11 tỷ,132.53,83.0,,1.0,5.0,5.0,,land,,Son Tra,Son Tra,Giảm 2 tỷ! Bán nhanh lô đất 2 mặt tiền - K. Nguyễn Văn Thoại - 83m² ngang 5m - lõi phố tây an thượng - phù hợp xây căn hộ - Giá 1x tỷ (x mới nhú) - Vị trí: Nằm ngay khu phố tây an thượng. Khu vực du lịch sầm uất bật n...... << Xem chi tiết >>,https://alonhadat.com.vn/giam-2-ty-ban-nhanh-lo-dat-2-mat-tien-k-nguyen-van-thoai-83m2-ngang-5m-loi-pho-tay-18650966.html,2026-05-18T18:00:33
alonhadat_land_list,TRUNG TÂM SƠN TRÀ- QUỸ ĐẤT HIẾM PHƯỚC TRƯỜNG – SÁT BIỂN MỸ KHÊ – NGANG 20M HIẾM CÓ- 92 TỶ.,92000.0,Giá: 92 tỷ,230.0,400.0,,,20.0,7.5,,land,,Son Tra,Son Tra,TRUNG TÂM SƠN TRÀ- QUỸ ĐẤT HIẾM PHƯỚC TRƯỜNG – SÁT BIỂN MỸ KHÊ – NGANG 20M ĐẸP HIẾM CÓ- 92 T Ỷ. 💎 Trung tâm Sơn Trà – khu vực cực kỳ khan hiếm quỹ đất lớn gần biển. 📍 Vị trí vàng: • Sát biển Mỹ Khê • Gần công viên ...... << Xem chi tiết >>,https://alonhadat.com.vn/trung-tam-son-tra-quy-dat-hiem-phuoc-truong-sat-bien-my-khe-ngang-20m-hiem-co-92-ty--18669031.html,2026-05-18T18:00:33
alonhadat_land_list,"TÍCH SẢN! BÁN LÔ ĐẤT ĐẸP NGAY TRUNG TÂM THƯƠNG MẠI PHỐ BIỂN MỸ KHÊ – 90M2, NGANG 5M",8900.0,"Giá: 8,9 tỷ",98.89,90.0,5.0,1.0,5.0,7.5,,land,,Ngu Hanh Son,Ngu Hanh Son,"* TÍCH SẢN! BÁN LÔ ĐẤT ĐẸP NGAY TRUNG TÂM THƯƠNG MẠI PHỐ BIỂN MỸ KHÊ – 90M2, NGANG 5M – ĐƯỜNG 7.5M – GIÁ CHỈ XÍU 8.X TỶ TL. - Vị trí vô cùng đẹp và chắc chắn sẽ tăng giá cực ở thời điểm sắp đến. Cạnh bên là trung tâm th...... << Xem chi tiết >>",https://alonhadat.com.vn/tich-san-ban-lo-dat-dep-ngay-trung-tam-thuong-mai-pho-bien-my-khe-90m2-ngang-5m-18654427.html,2026-05-18T18:00:33
alonhadat_land_list,"CAM KẾT GIÁ SẬP HẦM TẠI ĐƯỜNG 7.5M HÀN THUYÊN – 4 TẦNG; 115M2, NGANG 5M – XÍU 11.X TỶ TL",11600.0,"Giá: 11,6 tỷ",100.87,115.0,4.0,4.0,5.0,7.5,,land,,Hai Chau,Hai Chau,"* CAM KẾT GIÁ SẬP HẦM TẠI ĐƯỜNG 7.5M HÀN THUYÊN – 4 TẦNG; 115M2, NGANG 5M – XÍU 11.X TỶ TL. - Vị trí ngay trung tâm Hoà Cường – Hải Châu. Cạnh bên là đại lộ Lê Thanh Nghị - Nguyễn Hữu Dật – Đường 30/4. - Tiện ích dân s...... << Xem chi tiết >>",https://alonhadat.com.vn/cam-ket-gia-sap-ham-tai-duong-7-5m-han-thuyen-4-tang-115m2-ngang-5m-xiu-11-x-ty-tl-18667069.html,2026-05-18T18:00:33
alonhadat_land_list,"GIÁ NHƯ NĂM 2024 – MẶT PHỐ ĐƯỜNG 7.5M KHUÊ TRUNG – 125M2, NGANG 5M – CHỈ NHỈNH 8 TỶ TL",8050.0,"Giá: 8,05 tỷ",67.08,120.0,4.0,1.0,5.0,7.5,,land,,Cam Le,Cam Le,"* GIÁ NHƯ NĂM 2024 – MẶT PHỐ ĐƯỜNG 7.5M KHUÊ TRUNG – 125M2, NGANG 5M – CHỈ NHỈNH 8 TỶ TL. - Vị trí vô cùng đẹp, ngay trung tâm Khuê Trung – Cẩm Lệ. Cạnh sát đại lộ Nguyễn Hữu Thọ - Trịnh Đình Thảo. Thông cắt trục Xuân T...... << Xem chi tiết >>",https://alonhadat.com.vn/gia-nhu-nam-2024-mat-pho-duong-7-5m-khue-trung-125m2-ngang-5m-chi-nhinh-8-ty-tl-18668475.html,2026-05-18T18:00:33
alonhadat_land_list,TÒA CĂN HỘ ĐƯỜNG HÀN THUYÊN - QUẬN HẢI CHÂU - 112M2 - 4 TẦNG - DÒNG TIỀN TỐT - 11.X TỶ,11600.0,"Giá: 11,6 tỷ",103.57,112.0,4.0,4.0,5.0,7.5,,land,,Hai Chau,Hai Chau,"TÒA CĂN HỘ ĐƯỜNG HÀN THUYÊN - QUẬN HẢI CHÂU - 112M2 - 4 TẦNG - DÒNG TIỀN TỐT - 11.X TỶ 📐 Diện tích: 112,5m² (ngang 5m), đất vuông vức, có lối thoát hiểm sau. 🛣 Đường: 7,5m, vỉa hè 4m, ô tô để trong sân nhà. 1 CĂN ...... << Xem chi tiết >>",https://alonhadat.com.vn/re-nhat-mat-tien-duong-han-thuyen-quan-hai-chau-nha-4-tang-112m2-11-9-ty-18305979.html,2026-05-18T18:00:33
alonhadat_land_list,🔥 SIÊU PHẨM ĐẦU TƯ - BLOCK 4 LÔ ĐẤT Ở VIEW ĐẸP TẠI HOÀ TIẾN- ĐÀ NẴNG 🔥,4600.0,"Giá: 4,6 tỷ",9.02,510.0,,,,5.0,,land,,Hoa Vang,Hoa Vang,"Cần nhượng lại block 4 lô đất liền kề tại Hòa Tiến, vị trí đắc địa cho những nhà đầu tư đón đầu hạ tầng! • 📍 Vị trí: Thôn Phú Sơn Nam, xã Hòa Tiến, Hòa Vang, Đà Nẵng. • 🛣️ Hạ tầng: Đường ô tô 5m thông thoáng, di chuy...... << Xem chi tiết >>",https://alonhadat.com.vn/-sieu-pham-dau-tu-block-4-lo-dat-o-view-dep-tai-hoa-tien-da-nang--18668915.html,2026-05-18T18:00:33
homedy_land_list,"Mở bán đất nền Võ Chí Công, của tập đoàn Sun Group, 115m2 chỉ với 43tr/m2, đất đẹp, sang tên ngay",5000.0,5 Tỷ,43.48,115.0,,5.0,5.0,7.5,,land,,Cam Le,Cam Le,"Chính thức mở bán đất nền sau lưng Võ Chí Công, Đà Nẵng- Diện tích đất : 5x23- Xây được tối đa 5 tầng- Đường rộng 7,5m, lề đường 5m- Tiện ích gần trường,...",https://homedy.com/ban-dat-quan-cam-le-da-nang/mo-nen-vo-chi-cong-cua-tap-doan-sun-group-115m2-voi-43tr-m2-dep-sang-ten-ngay-es3195511,2026-05-18T19:52:10
homedy_land_list,"Lô đất mặt tiền UBND phường Hòa Xuân. Đường 7.5m, lề 4m .Diện tích 100m2.",5800.0,"5,8 Tỷ",58.0,100.0,,,,7.5,,land,,Cam Le,Cam Le,Vị trí đắc địa :Gần trường học Gần sân vận động Hòa Xuân Gần chợ Gần UBND phường Nối Văn Tiến Dũng thông thằng đến Sân vận động. Dân cư đông đúc Giao thông...,https://homedy.com/ban-dat-quan-cam-le-da-nang/lo-mat-tien-ubnd-phuong-hoa-xuan-duong-7-5m-4m-dien-tich-100m2-es3204642,2026-05-18T19:52:10
